Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-14,Personal Top 250,topstats,https://boxd.it/Pw8Zq,"This is not a list of 'The Greatest,' but a map of my own emotional attachment to the art of cinema. Do not look at it from the perspective of the critical acclaim, but approach it as a purely selfish list of what mattered or resonated to me. Not in terms of technical brilliance, but because it arrived at the right moment in my life.

Yes, you'll find the works of the great directors who influenced my tastes in cinema, but also the nostalgic gems that refer to a certain time and place. Constantly evolving, this living document provides a record of the favorite movies I've ever seen.  "

Position,Name,Year,URL,Description
1,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
2,"Dr. Mabuse, the Gambler",1922,https://boxd.it/22dE,
3,By the Law,1926,https://boxd.it/49pQ,
4,Metropolis,1927,https://boxd.it/71a,
5,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
6,M,1931,https://boxd.it/29vq,
7,Vampyr,1932,https://boxd.it/29DY,
8,Zero for Conduct,1933,https://boxd.it/ROW,
9,Grand Illusion,1937,https://boxd.it/29Ei,
10,Daybreak,1939,https://boxd.it/1sD2,
11,Citizen Kane,1941,https://boxd.it/71O,
12,The 47 Ronin,1941,https://boxd.it/Ofu,
13,Obsession,1943,https://boxd.it/23i6,
14,Double Indemnity,1944,https://boxd.it/297I,
15,"Rome, Open City",1945,https://boxd.it/2aD6,
16,The Lost Weekend,1945,https://boxd.it/1pgE,
17,It's a Wonderful Life,1946,https://boxd.it/28xA,
18,Odd Man Out,1947,https://boxd.it/Uq4,
19,Jenny Lamour,1947,https://boxd.it/F3O,
20,The Lady from Shanghai,1947,https://boxd.it/251Q,
21,The Quiet Duel,1949,https://boxd.it/18aO,
22,Night and the City,1950,https://boxd.it/1FFg,
23,Sunset Boulevard,1950,https://boxd.it/2a20,
24,Rashomon,1950,https://boxd.it/2a9K,
25,Diary of a Country Priest,1951,https://boxd.it/UDC,
26,Ace in the Hole,1951,https://boxd.it/1vXk,
27,A Streetcar Named Desire,1951,https://boxd.it/29Mc,
28,Ikiru,1952,https://boxd.it/251c,
29,Ugetsu,1953,https://boxd.it/1NyM,
30,The Wages of Fear,1953,https://boxd.it/2aSK,
