Date,Name,Year,Letterboxd URI,Rating
2025-10-13,Magnolia,1999,https://boxd.it/2aze,4.5
2025-10-13,The Color of Pomegranates,1969,https://boxd.it/1u94,5
2025-10-13,The Last Samurai,2003,https://boxd.it/29ZA,3
2025-10-13,"Tokyo Towers: Mom and Me, and Sometimes Dad",2007,https://boxd.it/12wE,3
2025-10-13,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,3.5
2025-10-13,Corpse Bride,2005,https://boxd.it/24WQ,3.5
2025-10-13,Gladiator,2000,https://boxd.it/2b9m,4
2025-10-13,Collateral,2004,https://boxd.it/28F0,3
2025-10-13,Sherlock Holmes,2009,https://boxd.it/1W2A,3
2025-10-13,The Mist,2007,https://boxd.it/22r2,3
2025-10-13,Father of the Bride,1991,https://boxd.it/1SWY,3.5
2025-10-13,Father of the Bride Part II,1995,https://boxd.it/1SUo,3
2025-10-13,Patch Adams,1998,https://boxd.it/1Wzk,3
2025-10-13,The Birdcage,1996,https://boxd.it/1UTi,3
2025-10-13,It Chapter Two,2019,https://boxd.it/h10u,2
2025-10-13,Manon,1949,https://boxd.it/4igy,4
2025-10-13,Alice in Wonderland,1951,https://boxd.it/1Sz6,3.5
2025-10-13,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC,4
2025-10-13,The Jungle Book,1967,https://boxd.it/1YY2,3
2025-10-13,Starman,1984,https://boxd.it/1Y6O,3.5
2025-10-13,Surf's Up,2007,https://boxd.it/1YKY,3.5
2025-10-13,K-PAX,2001,https://boxd.it/2aYo,3.5
2025-10-13,The Karate Kid Part II,1986,https://boxd.it/1ZJM,2.5
2025-10-13,The Karate Kid Part III,1989,https://boxd.it/1W7q,2
2025-10-13,Over the Top,1987,https://boxd.it/2852,2.5
2025-10-13,Short Circuit,1986,https://boxd.it/26zY,3
2025-10-13,Cocoon,1985,https://boxd.it/1Wx4,2.5
2025-10-13,*batteries not included,1987,https://boxd.it/1TAk,3
2025-10-13,Casper: A Spirited Beginning,1997,https://boxd.it/13Tu,2.5
2025-10-13,The Seed of Man,1969,https://boxd.it/3EzK,3.5
2025-10-13,Midnight Run,1988,https://boxd.it/1ZnQ,4
2025-10-13,A Prairie Home Companion,2006,https://boxd.it/1YsA,3.5
2025-10-13,The Aerial,2007,https://boxd.it/1Qq2,3
2025-10-13,The Secret of the Grain,2007,https://boxd.it/20q2,3.5
2025-10-13,10 Things I Hate About You,1999,https://boxd.it/23AO,3.5
2025-10-13,The Princess and the Warrior,2000,https://boxd.it/1Z1A,3.5
2025-10-13,Desert Moon,2001,https://boxd.it/5xUg,2.5
2025-10-13,Norwegian Wood,2010,https://boxd.it/m4S,3.5
2025-10-13,F1,2025,https://boxd.it/yjVM,3
