Date,Name,Year,Letterboxd URI
2025-10-13,Harakiri,1962,https://boxd.it/1NTU
2025-10-13,One Battle After Another,2025,https://boxd.it/DUHM
2025-10-13,Magnolia,1999,https://boxd.it/2aze
2025-10-13,The Color of Pomegranates,1969,https://boxd.it/1u94
2025-10-13,The Last Samurai,2003,https://boxd.it/29ZA
2025-10-13,"Tokyo Towers: Mom and Me, and Sometimes Dad",2007,https://boxd.it/12wE
2025-10-13,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2025-10-13,Corpse Bride,2005,https://boxd.it/24WQ
2025-10-13,Gladiator,2000,https://boxd.it/2b9m
2025-10-13,Collateral,2004,https://boxd.it/28F0
2025-10-13,Sherlock Holmes,2009,https://boxd.it/1W2A
2025-10-13,The Mist,2007,https://boxd.it/22r2
2025-10-13,Father of the Bride,1991,https://boxd.it/1SWY
2025-10-13,Father of the Bride Part II,1995,https://boxd.it/1SUo
2025-10-13,Patch Adams,1998,https://boxd.it/1Wzk
2025-10-13,The Birdcage,1996,https://boxd.it/1UTi
2025-10-13,It Chapter Two,2019,https://boxd.it/h10u
2025-10-13,The Life of Chuck,2024,https://boxd.it/vMTu
2025-10-13,Manon,1949,https://boxd.it/4igy
2025-10-13,Alice in Wonderland,1951,https://boxd.it/1Sz6
2025-10-13,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC
2025-10-13,The Jungle Book,1967,https://boxd.it/1YY2
2025-10-13,Starman,1984,https://boxd.it/1Y6O
2025-10-13,Surf's Up,2007,https://boxd.it/1YKY
2025-10-13,K-PAX,2001,https://boxd.it/2aYo
2025-10-13,The Karate Kid Part II,1986,https://boxd.it/1ZJM
2025-10-13,The Karate Kid Part III,1989,https://boxd.it/1W7q
2025-10-13,Over the Top,1987,https://boxd.it/2852
2025-10-13,Short Circuit,1986,https://boxd.it/26zY
2025-10-13,Cocoon,1985,https://boxd.it/1Wx4
2025-10-13,*batteries not included,1987,https://boxd.it/1TAk
2025-10-13,Casper: A Spirited Beginning,1997,https://boxd.it/13Tu
2025-10-13,The Seed of Man,1969,https://boxd.it/3EzK
2025-10-13,Midnight Run,1988,https://boxd.it/1ZnQ
2025-10-13,A Prairie Home Companion,2006,https://boxd.it/1YsA
2025-10-13,The Aerial,2007,https://boxd.it/1Qq2
2025-10-13,The Secret of the Grain,2007,https://boxd.it/20q2
2025-10-13,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW
2025-10-13,10 Things I Hate About You,1999,https://boxd.it/23AO
2025-10-13,The Princess and the Warrior,2000,https://boxd.it/1Z1A
2025-10-13,Desert Moon,2001,https://boxd.it/5xUg
2025-10-13,Norwegian Wood,2010,https://boxd.it/m4S
2025-10-13,F1,2025,https://boxd.it/yjVM
2025-10-13,Call Me by Your Name,2017,https://boxd.it/dYmm
2025-10-13,The Menu,2022,https://boxd.it/lScm
2025-10-13,Superman,2025,https://boxd.it/E9IU
2025-10-13,Teheran '43,1981,https://boxd.it/26Re
2025-10-13,The Secret of the Third Planet,1981,https://boxd.it/F9W
2025-10-13,Stone,1992,https://boxd.it/4atY
2025-10-13,The Unknown Woman,2006,https://boxd.it/gZe
2025-10-13,Spy,2015,https://boxd.it/71Ks
2025-10-13,The Bucket List,2007,https://boxd.it/20Ye
2025-10-13,The Killing Fields,1984,https://boxd.it/29Yi
2025-10-13,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2025-10-13,Dune,2021,https://boxd.it/fA7G
2025-10-13,Rush Hour 3,2007,https://boxd.it/23gk
2025-10-13,Anora,2024,https://boxd.it/Egcw
2025-10-13,Silence,2016,https://boxd.it/2cAo
2025-10-13,The Irishman,2019,https://boxd.it/dYOq
2025-10-13,A Star Is Born,2018,https://boxd.it/aXgc
2025-10-13,Thor: Love and Thunder,2022,https://boxd.it/mMAY
2025-10-13,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A
2025-10-13,Silver Linings Playbook,2012,https://boxd.it/2TTo
2025-10-13,As Good as It Gets,1997,https://boxd.it/268y
